fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,feature_set,feature_count
3,2022-03-01,elastic_net_full_23,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",1.2623033671227162,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",1.017794469480459,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8680717042456356,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.7020395220553378,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.6828263412864461,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.5111237932340564,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_full_23,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.15804265683838964,12,2020-10-01,2021-09-01,62,5,1,full_23,23
3,2022-03-01,elastic_net_full_23,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.16423648323919746,12,2020-10-01,2021-09-01,62,5,0,full_23,23
3,2022-03-01,elastic_net_core_10,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",1.3198218689536936,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",1.29550793732593,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",1.2717109904803623,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",1.1582092249015672,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",1.0237348718221126,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.8856006100017345,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.6300391077483046,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.5912470937863387,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.6033774668351949,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.3875281271574366,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_core_10,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.1546598380247903,12,2020-10-01,2021-09-01,62,5,1,core_10,10
3,2022-03-01,elastic_net_core_10,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.16423648323919746,12,2020-10-01,2021-09-01,62,5,0,core_10,10
3,2022-03-01,elastic_net_macro_core_8,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.6886552253153253,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.6950185310064478,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.698742053991365,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.6677696876353152,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.7101031105446259,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.7129180423338056,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.6280398306121139,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.592037291718672,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.6033508069958693,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.4151097639104442,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.1546598380247903,12,2020-10-01,2021-09-01,62,5,1,macro_core_8,8
3,2022-03-01,elastic_net_macro_core_8,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.16423648323919746,12,2020-10-01,2021-09-01,62,5,0,macro_core_8,8
3,2022-03-01,elastic_net_ar_core_5,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.5992036752625248,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
3,2022-03-01,elastic_net_ar_core_5,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.5973029113676467,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
3,2022-03-01,elastic_net_ar_core_5,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.5955820588889152,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
3,2022-03-01,elastic_net_ar_core_5,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.5909106934955942,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
3,2022-03-01,elastic_net_ar_core_5,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.5786417597766317,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
3,2022-03-01,elastic_net_ar_core_5,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.5689199771959951,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
3,2022-03-01,elastic_net_ar_core_5,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.5309784090588335,12,2020-10-01,2021-09-01,62,5,0,ar_core_5,5
