fold_id,model,method,feature,origins,mean_absolute_attribution,normalized_importance,mean_signed_attribution,attribution_positive_share,attribution_negative_share,attribution_zero_share,attribution_sign_consistency,mean_model_weight,weight_positive_share,weight_negative_share,weight_zero_share,weight_sign_consistency,rank
all,elastic_net,standardized_linear_contribution,npl90_lag_3m,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,npl90_lag_6m,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,npl90_change_1m_pp,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,npl90_change_3m_pp,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,npl90_change_12m_pp,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,ipc_yoy,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,usdclp_yoy_pct,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,consumer_lending_rate,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,consumer_lending_rate_change_3m_pp,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,elastic_net,standardized_linear_contribution,month_cos,46,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,18.5
all,random_forest,mean_decrease_impurity,npl90_rolling_mean_6m,46,0.2103293728745556,0.2103293728745556,,,,,,0.2103293728745556,1.0,0.0,0.0,1.0,1.0
all,random_forest,mean_decrease_impurity,npl90_rolling_mean_12m,46,0.10088154732179305,0.10088154732179305,,,,,,0.10088154732179305,1.0,0.0,0.0,1.0,2.0
all,random_forest,mean_decrease_impurity,npl90_lag_3m,46,0.08543025213455593,0.08543025213455593,,,,,,0.08543025213455593,1.0,0.0,0.0,1.0,3.0
all,random_forest,mean_decrease_impurity,tpm_change_3m_pp,46,0.06416717195564312,0.06416717195564312,,,,,,0.06416717195564312,1.0,0.0,0.0,1.0,4.0
all,random_forest,mean_decrease_impurity,npl90_rolling_mean_3m,46,0.05766611059831502,0.05766611059831502,,,,,,0.05766611059831502,1.0,0.0,0.0,1.0,5.0
