fold_id,outer_test_start,model,candidate_id,parameters,inner_mae,inner_validation_origins,inner_validation_start,inner_validation_end,minimum_inner_training_rows,maximum_inner_purged_rows,selected,scenario,horizon_months,training_scheme
3,2022-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",1.017794469480459,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.8680717042456356,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,8,"{""alpha"":0.1,""l1_ratio"":0.5,""max_iter"":20000}",0.7020395220553378,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,9,"{""alpha"":0.1,""l1_ratio"":0.9,""max_iter"":20000}",0.6828263412864461,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,10,"{""alpha"":0.5,""l1_ratio"":0.1,""max_iter"":20000}",0.5111237932340564,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
3,2022-03-01,elastic_net,11,"{""alpha"":0.5,""l1_ratio"":0.5,""max_iter"":20000}",0.15804265683838964,12,2020-10-01,2021-09-01,62,5,1,h6_expanding,6,expanding
3,2022-03-01,elastic_net,12,"{""alpha"":0.5,""l1_ratio"":0.9,""max_iter"":20000}",0.16423648323919746,12,2020-10-01,2021-09-01,62,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,1,"{""alpha"":0.001,""l1_ratio"":0.1,""max_iter"":20000}",0.47109785669045184,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,2,"{""alpha"":0.001,""l1_ratio"":0.5,""max_iter"":20000}",0.42117554161375953,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,3,"{""alpha"":0.001,""l1_ratio"":0.9,""max_iter"":20000}",0.3965156063339193,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,4,"{""alpha"":0.01,""l1_ratio"":0.1,""max_iter"":20000}",0.4057240838750846,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,5,"{""alpha"":0.01,""l1_ratio"":0.5,""max_iter"":20000}",0.3629619343910766,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,6,"{""alpha"":0.01,""l1_ratio"":0.9,""max_iter"":20000}",0.3542618418219717,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
4,2023-03-01,elastic_net,7,"{""alpha"":0.1,""l1_ratio"":0.1,""max_iter"":20000}",0.36528238032008753,12,2021-10-01,2022-09-01,74,5,0,h6_expanding,6,expanding
